Item,Link,Price
NRF52840,https://www.aliexpress.com/item/1005007205026373.html?mp=1&pdp_npi=6%40dis!CAD!CAD%206.03!CAD%205.79!!CAD%205.79!!!%402101c4b817874504297826611e0ce6!12000039797470328!ct!CA!3061425284!!1!0!,$6.09
Gateron Milky Yellow Switches (50 Pcs),https://www.aliexpress.com/item/1005007039372956.html?mp=1&pdp_npi=6%40dis!CAD!CAD%2021.85!CAD%201.39!!CAD%201.39!!!%402101c4b817874504297826611e0ce6!12000039183612480!ct!CA!3061425284!!1!0!,$1.41
Polymer Lithium Battery 600mAh,https://www.aliexpress.com/item/1005007905669396.html?mp=1&pdp_npi=6%40dis!CAD!CAD%2019.13!CAD%2011.48!!CAD%2011.48!!!%402101c4b817874504297826611e0ce6!12000042789578071!ct!CA!3061425284!!1!0!&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$11.58
0.91 Inch OLED Display,https://www.aliexpress.com/item/1005008640108394.html?mp=1&pdp_npi=6%40dis!CAD!CAD%203.51!CAD%203.51!!CAD%203.51!!!%402101c4b817874504297826611e0ce6!12000046056142551!ct!CA!3061425284!!1!0!,$3.54
1N4148 Diodes (50 Pcs),https://www.aliexpress.com/item/1005009379098965.html?mp=1&pdp_npi=6%40dis!CAD!CAD%208.46!CAD%204.23!!CAD%204.23!!!%402101c4b817874504297826611e0ce6!12000048926087941!ct!CA!3061425284!!1!0!,$4.29
2.54mm Silver Headers,https://www.aliexpress.com/item/4001122376295.html?mp=1&pdp_npi=6%40dis!CAD!CAD%203.76!CAD%203.61!!CAD%203.61!!!%402101c4b817874504297826611e0ce6!10000014593481347!ct!CA!3061425284!!1!0!,$3.79
Blank Keycaps (20 Pcs),https://www.aliexpress.com/item/1005007683242914.html?mp=1&pdp_npi=6%40dis!CAD!CAD%208.71!CAD%208.71!!CAD%208.71!!!%402101c4b817874504297826611e0ce6!12000041809447184!ct!CA!3061425284!!1!0!,$8.79
EC11 Rotary Encoder (5 Pcs),https://www.aliexpress.com/item/1005004908084537.html?mp=1&pdp_npi=6%40dis!CAD!CAD%206.18!CAD%205.93!!CAD%205.93!!!%402101c4b817874504297826611e0ce6!12000030980447516!ct!CA!3061425284!!1!0!,$6.24
PCB,https://cart.jlcpcb.com/shopcart/cart/,$11.18
MSK12C02 Switch (50 Pcs),https://www.aliexpress.com/item/4000685483225.html,$3.59
,,
Total,,$60.50
