Designator,Mid X,Mid Y,Rotation,Layer
BT1,159.54375,-52.54625,270.0,bottom
D1,107.15625,-70.64375,90.0,bottom
D10,145.25625,-108.505625,90.0,bottom
D11,164.30625,-108.505625,90.0,bottom
D12,107.15625,-127.555625,90.0,bottom
D13,126.20625,-127.79375,90.0,bottom
D14,145.25625,-127.555625,90.0,bottom
D15,164.30625,-127.555625,90.0,bottom
D16,164.30625,-70.405625,90.0,bottom
D2,126.20625,-70.405625,90.0,bottom
D3,145.25625,-70.405625,90.0,bottom
D4,107.15625,-89.455625,90.0,bottom
D5,126.20625,-89.455625,90.0,bottom
D6,145.25625,-89.69375,90.0,bottom
D7,164.30625,-89.69375,90.0,bottom
D8,107.15625,-108.505625,90.0,bottom
D9,126.20625,-108.505625,90.0,bottom
J1,144.065625,-52.625625,180.0,top
S1,97.63125,-69.43125,0.0,top
S10,135.73125,-107.53125,0.0,top
S11,154.78125,-107.53125,0.0,top
S12,97.63125,-126.58125,0.0,top
S13,116.68125,-126.58125,0.0,top
S14,135.73125,-126.58125,0.0,top
S15,154.78125,-126.58125,0.0,top
S2,116.68125,-69.43125,0.0,top
S3,135.73125,-69.43125,0.0,top
S4,97.63125,-88.48125,0.0,top
S5,116.68125,-88.48125,0.0,top
S6,135.73125,-88.48125,0.0,top
S7,154.78125,-88.48125,0.0,top
S8,97.63125,-107.53125,0.0,top
S9,116.68125,-107.53125,0.0,top
SW8,154.78125,-71.59625,270.0,top
U1,105.965625,-52.54625,0.0,top
